Name,Age,Height,Hair,Sex,Series
Isabel "Belly" Conklin,15,163,Brown,Female,The Summer I Turned Pretty
Conrad Fisher,17,185,Brown,Male,The Summer I Turned Pretty
Jeremiah Fisher,16,183,Brown,Male,The Summer I Turned Pretty
Steven Conklin,17,178,Brown,Male,The Summer I Turned Pretty
Taylor Jewel,15,165,Brown,Female,The Summer I Turned Pretty
Susannah Fisher,40,168,Blonde,Female,The Summer I Turned Pretty
Laurel Park,40,165,Black,Female,The Summer I Turned Pretty
Cam Cameron,16,180,Brown,Male,The Summer I Turned Pretty
Shayla Wang,16,168,Black,Female,The Summer I Turned Pretty
Nicole,17,170,Brown,Female,The Summer I Turned Pretty
Jess Day,28,168,Brown,Female,New Girl
Nick Miller,29,175,Brown,Male,New Girl
Schmidt,28,175,Brown,Male,New Girl
Cece Parekh,28,170,Brown,Female,New Girl
Winston Bishop,28,175,Black,Male,New Girl
Coach,28,183,Black,Male,New Girl
Aly,28,160,Brown,Female,New Girl
Reagan,29,168,Brown,Female,New Girl
Michael Scott,41,175,Brown,Male,The Office
Dwight Schrute,35,188,Brown,Male,The Office
Jim Halpert,26,191,Brown,Male,The Office
Pam Beesly,26,168,Red,Female,The Office
Ryan Howard,20,175,Black,Male,The Office
Andy Bernard,30,183,Brown,Male,The Office
Stanley Hudson,40,180,Black,Male,The Office
Kevin Malone,30,185,Brown,Male,The Office
Meredith Palmer,30,163,Red,Female,The Office
Angela Martin,30,155,Blonde,Female,The Office
Oscar Martinez,30,175,Black,Male,The Office
Phyllis Vance,40,166,Red,Female,The Office
Toby Flenderson,30,178,Brown,Male,The Office
Kelly Kapoor,20,163,Black,Female,The Office
Creed Bratton,50,183,Grey,Male,The Office
Darryl Philbin,30,188,Black,Male,The Office
Erin Hannon,20,165,Red,Female,The Office
Gabe Lewis,20,193,Brown,Male,The Office
Holly Flax,30,163,Blonde,Female,The Office
Jan Levinson,30,165,Blonde,Female,The Office
Roy Anderson,20,193,Brown,Male,The Office
Leslie Knope,34,157,Blonde,Female,Parks and Recreation
Ron Swanson,40,180,Brown,Male,Parks and Recreation
Ann Perkins,30,163,Brown,Female,Parks and Recreation
Tom Haverford,24,168,Black,Male,Parks and Recreation
April Ludgate,19,165,Black,Female,Parks and Recreation
Andy Dwyer,29,188,Brown,Male,Parks and Recreation
Ben Wyatt,30,178,Brown,Male,Parks and Recreation
Chris Traeger,42,180,Brown,Male,Parks and Recreation
Donna Meagle,35,165,Black,Female,Parks and Recreation
Jerry Gergich,60,173,Grey,Male,Parks and Recreation
Jake Peralta,32,177,Brown,Male,Brooklyn 99
Amy Santiago,28,163,Brown,Female,Brooklyn 99
Raymond Holt,50,185,Grey,Male,Brooklyn 99
Rosa Diaz,28,168,Brown,Female,Brooklyn 99
Charles Boyle,40,170,Brown,Male,Brooklyn 99
Terry Jeffords,40,188,Bald,Male,Brooklyn 99
Gina Linetti,30,168,Brown,Female,Brooklyn 99
Michael Hitchcock,60,178,Grey,Male,Brooklyn 99
Norm Scully,60,175,Grey,Male,Brooklyn 99
Eleanor Shellstrop,34,155,Blonde,Female,The Good Place
Chidi Anagonye,36,173,Black,Male,The Good Place
Tahani Al-Jamil,30,178,Black,Female,The Good Place
Jason Mendoza,29,180,Black,Male,The Good Place
Michael,1000,188,Grey,Male,The Good Place
Janet,1000,178,Brown,Female,The Good Place